SL NO.,COUNTRY,MINT YEAR,VALUE / NOMENCLATURE,DESCRIPTION,METAL,VALUE AS ON 2025
77e,Cyprus,1944,1/2 Piastre,George VI crowned bust with Scalloped shape with 12 notches,Bronze,4$
78f,Portugal,1892,20 Reis,bust of Calos I / wreath,Bronze,10$
79a ,Portugal,1884,10 Reis,portrait of Louis I  / wreath,Bronze,30$
80b,Portugal,1853,10 Reis,crowned ornate arms  / wreath   Maria II,Copper,20$
81c,Portugal India,1958,30 Centavos,part of Escudo currency  coat of arms,Bronze,10$
82d,Portugal India,1953,20 Centavos,5 escutcheons forming cross within circle  /  olive branch under value in roman,Bronze,5$
83e,Portugal India,1954,10 Centavos,5 escutcheons forming cross /  olive branch,Bronze,5$
84f,Portugal India,1959,10 Centavos,Coat of Arms or shield of Portugal,Bronze,5$
85a ,Portugal India,1957,10 Centavos,Coat of Arms or shield of Portugal,Bronze,5$
86b,Cyprus,1938,1/2 Piastre,George V crowned bust with Scalloped shape with 12 notches,CU - Ni,6$
87c,Australia,1938,1/2  Penny,King George VI portrait,Bronze,4$
88d,Australia,1941,1/2  Penny,King George VI portrait / Kangaroo leaping,Bronze,4$
89e,Australia,1951,1/2  Penny,King George VI portrait / Kangaroo leaping,Bronze,4$
90f,Australia,1945,1  Penny,King George V crowned portrait,Bronze,4$
91a ,Australia,1917,1/2  Penny,King George VI portrait / Kangaroo leaping,Bronze,4$
